Gen
BusNum,GenID,GenFuelType,GenUnitType,GenIOB,GenIOC,GenParFac
1,1,Nuclear,ST (Steam Turbine),0.000000,0.000000,0.000000
1,2,Nuclear,ST (Steam Turbine),0.000000,0.000000,0.000000
2,1,"Residual Fuel Oil (FO5, FO6)",ST (Steam Turbine),71.579002,0.014913,460.000000
3,1,Coal,ST (Steam Turbine),13.119000,0.003504,400.000000
3,2,"Residual Fuel Oil (FO5, FO6)",ST (Steam Turbine),77.147003,0.045581,163.000000
4,1,Natural Gas,CS (Combined Cycle Single Shaft),11.398372,0.026456,289.000000
4,2,Natural Gas,CS (Combined Cycle Single Shaft),11.398372,0.026456,289.000000
5,1,Natural Gas,CS (Combined Cycle Single Shaft),11.398372,0.026456,280.000000
5,2,Natural Gas,CS (Combined Cycle Single Shaft),11.398372,0.026456,280.000000
5,3,Natural Gas,CS (Combined Cycle Single Shaft),11.398372,0.026456,280.000000
6,1,Natural Gas,CA (Combined Cycle Steam Part),9.546508,0.032500,180.000000
6,2,Natural Gas,CT (Combined Cycle Combustion Turbine Part),9.546508,0.032500,170.000000
6,3,Natural Gas,CT (Combined Cycle Combustion Turbine Part),9.546508,0.032500,170.000000
7,1,Natural Gas,ST (Steam Turbine),21.819147,0.009002,239.399994
7,2,Natural Gas,ST (Steam Turbine),23.532391,0.020257,113.599998
7,3,"Residual Fuel Oil (FO5, FO6)",ST (Steam Turbine),71.300438,0.017147,414.899994
8,1,Natural Gas,GT (Gas Turbine),16.921619,0.007157,96.000000
9,1,Natural Gas,GT (Gas Turbine),16.921619,0.007157,84.000000
10,1,"Residual Fuel Oil (FO5, FO6)",ST (Steam Turbine),71.300438,0.017147,414.899994
10,2,"Residual Fuel Oil (FO5, FO6)",ST (Steam Turbine),83.969002,0.107650,75.000000
11,1,Other,ST (Steam Turbine),0.000000,0.000000,67.000000
13,1,Natural Gas,CT (Combined Cycle Combustion Turbine Part),14.878815,0.053263,40.000000
13,2,Natural Gas,CA (Combined Cycle Steam Part),14.878815,0.053263,56.000000
14,1,"Residual Fuel Oil (FO5, FO6)",GT (Gas Turbine),50.578270,0.008328,51.000000
14,2,"Residual Fuel Oil (FO5, FO6)",GT (Gas Turbine),50.578270,0.008328,51.000000
14,3,"Residual Fuel Oil (FO5, FO6)",GT (Gas Turbine),50.578270,0.008328,51.000000
14,4,"Residual Fuel Oil (FO5, FO6)",GT (Gas Turbine),50.578270,0.008328,51.000000
15,1,Natural Gas,GT (Gas Turbine),13.537264,0.025932,50.000000
