Gen
BusNum,GenID,GenFuelType,GenUnitType,GenIOB,GenIOC,GenParFac
58576,1,Wind,WT (Wind Turbine),0.000000,0.000000,135.000000
58577,1,Coal,ST (Steam Turbine),14.770000,0.012382,115.699997
58578,1,Hydro,HY (Hydro),14.878810,0.020763,107.000000
58578,2,Hydro,HY (Hydro),14.878810,0.020763,107.000000
58578,3,Hydro,HY (Hydro),14.878810,0.020763,107.000000
58578,4,Hydro,HY (Hydro),14.878810,0.020763,107.000000
58580,1,Hydro,HY (Hydro),14.878810,0.020763,105.000000
58580,2,Hydro,HY (Hydro),14.878810,0.020763,105.000000
58580,3,Hydro,HY (Hydro),14.878810,0.020763,105.000000
58580,4,Hydro,HY (Hydro),14.878810,0.020763,105.000000
58580,5,Hydro,HY (Hydro),14.878810,0.020763,105.000000
58581,1,Wind,WT (Wind Turbine),0.000000,0.000000,103.500000
58582,1,Natural Gas,GT (Gas Turbine),16.921619,0.007157,91.000000
58583,1,Hydro,HY (Hydro),14.878810,0.062200,57.099998
58583,2,Hydro,HY (Hydro),14.878810,0.020763,12.440000
58583,3,Hydro,HY (Hydro),14.878810,0.020763,12.440000
58583,4,Hydro,HY (Hydro),14.878810,0.020763,12.440000
58583,5,Hydro,HY (Hydro),14.878810,0.020763,12.440000
58583,6,Hydro,HY (Hydro),14.878810,0.020763,12.440000
58583,7,Hydro,HY (Hydro),14.878810,0.020763,12.440000
58583,8,Hydro,HY (Hydro),14.878810,0.020763,12.440000
58584,1,Hydro,HY (Hydro),14.878810,0.020763,114.000000
58584,2,Hydro,HY (Hydro),14.878810,0.020763,76.800003
58584,3,Hydro,HY (Hydro),14.878810,0.020763,113.800003
58584,4,Hydro,HY (Hydro),14.878810,0.020763,113.900002
58584,5,Hydro,HY (Hydro),14.878810,0.020763,113.900002
58585,1,Coal,ST (Steam Turbine),22.486000,0.031835,68.000000
58586,1,Hydro,HY (Hydro),14.878810,0.062200,62.500000
58586,2,Hydro,HY (Hydro),14.878810,0.062200,62.500000
58586,3,Hydro,HY (Hydro),14.878810,0.062200,62.500000
58586,4,Hydro,HY (Hydro),14.878810,0.062200,62.500000
58587,1,Natural Gas,IC (Internal Combustion),26.976999,0.070040,6.100000
58587,2,Natural Gas,IC (Internal Combustion),26.976999,0.070040,6.100000
58587,3,Natural Gas,IC (Internal Combustion),26.976999,0.070040,6.100000
58587,4,Natural Gas,IC (Internal Combustion),26.976999,0.070040,6.100000
58587,5,Natural Gas,IC (Internal Combustion),26.976999,0.070040,6.100000
58587,6,Natural Gas,IC (Internal Combustion),26.976999,0.070040,6.100000
58587,7,Natural Gas,IC (Internal Combustion),26.976999,0.070040,6.100000
58587,8,Natural Gas,IC (Internal Combustion),26.976999,0.070040,6.100000
58587,9,Natural Gas,IC (Internal Combustion),26.976999,0.070040,6.100000
58589,1,Hydro,HY (Hydro),14.878810,0.062200,50.400002
58589,2,Hydro,HY (Hydro),14.878810,0.020763,70.599998
58589,3,Hydro,HY (Hydro),14.878810,0.020763,86.599998
58590,1,Coal,ST (Steam Turbine),15.974340,0.029212,50.000000
58592,1,Coal,ST (Steam Turbine),16.010000,0.032976,46.099998
58593,1,Hydro,HY (Hydro),14.878810,0.062200,40.000000
58593,2,Hydro,HY (Hydro),14.878810,0.062200,40.000000
58593,3,Hydro,HY (Hydro),14.878810,0.062200,43.500000
58593,4,Hydro,HY (Hydro),14.878810,0.062200,43.500000
58594,1,Hydro,HY (Hydro),14.878810,0.062200,9.600000
58594,2,Hydro,HY (Hydro),14.878810,0.062200,9.600000
58594,3,Hydro,HY (Hydro),14.878810,0.062200,9.600000
58594,4,Hydro,HY (Hydro),14.878810,0.062200,9.600000
58595,1,Hydro,HY (Hydro),14.878810,0.062200,4.570000
58595,2,Hydro,HY (Hydro),14.878810,0.062200,4.570000
58595,3,Hydro,HY (Hydro),14.878810,0.062200,4.570000
58595,4,Hydro,HY (Hydro),14.878810,0.062200,4.570000
58595,5,Hydro,HY (Hydro),14.878810,0.062200,4.570000
58595,6,Hydro,HY (Hydro),14.878810,0.062200,4.570000
58595,7,Hydro,HY (Hydro),14.878810,0.062200,4.570000
58595,8,Hydro,HY (Hydro),14.878810,0.062200,4.570000
58598,1,Wind,WT (Wind Turbine),0.000000,0.000000,30.000002
58599,1,Hydro,HY (Hydro),14.878810,0.062200,8.000000
58599,2,Hydro,HY (Hydro),14.878810,0.062200,8.000000
58599,3,Hydro,HY (Hydro),14.878810,0.062200,8.000000
58601,1,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,10,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,11,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,12,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,13,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,14,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,15,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,16,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,17,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,18,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,19,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,2,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,20,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,21,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,22,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,23,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,24,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,25,Hydro,HY (Hydro),14.878810,0.020763,86.000000
58601,26,Hydro,HY (Hydro),14.878810,0.020763,86.000000
58601,27,Hydro,HY (Hydro),14.878810,0.020763,86.000000
58601,28,Hydro,HY (Hydro),14.878810,0.020763,86.000000
58601,29,Hydro,HY (Hydro),14.878810,0.020763,86.000000
58601,3,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,30,Hydro,HY (Hydro),14.878810,0.020763,86.000000
58601,31,Hydro,HY (Hydro),14.878810,0.020763,86.000000
58601,32,Hydro,HY (Hydro),14.878810,0.020763,86.000000
58601,33,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,34,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,35,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,36,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,37,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,38,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,39,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,4,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,40,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,41,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,42,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,43,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,44,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,45,Hydro,HY (Hydro),14.878810,0.020763,78.000000
58601,46,Hydro,HY (Hydro),14.878810,0.020763,89.699997
58601,5,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,6,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,7,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,8,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58601,9,Hydro,HY (Hydro),14.878810,0.001644,75.820000
58602,1,Hydro,HY (Hydro),14.878810,0.062200,66.500000
58602,10,Hydro,HY (Hydro),14.878810,0.062200,53.500000
58602,11,Hydro,HY (Hydro),14.878810,0.062200,62.099998
58602,12,Hydro,HY (Hydro),14.878810,0.062200,62.099998
58602,13,Hydro,HY (Hydro),14.878810,0.062200,62.099998
58602,14,Hydro,HY (Hydro),14.878810,0.062200,62.099998
58602,15,Hydro,HY (Hydro),14.878810,0.062200,62.099998
58602,16,Hydro,HY (Hydro),14.878810,0.062200,62.099998
58602,17,Hydro,HY (Hydro),14.878810,0.062200,62.099998
58602,18,Hydro,HY (Hydro),14.878810,0.062200,62.099998
58602,19,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,2,Hydro,HY (Hydro),14.878810,0.062200,66.500000
58602,20,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,21,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,22,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,23,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,24,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,25,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,26,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,27,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,28,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,29,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,3,Hydro,HY (Hydro),14.878810,0.062200,66.500000
58602,30,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,31,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,32,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,33,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,34,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,35,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,36,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,37,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,38,Hydro,HY (Hydro),14.878810,0.001644,58.099998
58602,4,Hydro,HY (Hydro),14.878810,0.062200,66.500000
58602,5,Hydro,HY (Hydro),14.878810,0.062200,66.500000
58602,6,Hydro,HY (Hydro),14.878810,0.062200,66.500000
58602,7,Hydro,HY (Hydro),14.878810,0.062200,66.500000
58602,8,Hydro,HY (Hydro),14.878810,0.062200,66.500000
58602,9,Hydro,HY (Hydro),14.878810,0.062200,53.500000
58603,1,Coal,ST (Steam Turbine),13.166000,0.001661,642.200012
58604,1,Natural Gas,CA (Combined Cycle Steam Part),9.546510,0.032500,171.000000
58604,2,Natural Gas,CT (Combined Cycle Combustion Turbine Part),11.398370,0.026456,312.000000
58605,1,Natural Gas,CA (Combined Cycle Steam Part),11.398370,0.026456,264.399994
58605,2,Natural Gas,CT (Combined Cycle Combustion Turbine Part),18.771999,0.009320,212.500000
58605,3,Natural Gas,CT (Combined Cycle Combustion Turbine Part),18.771999,0.009320,212.500000
58606,1,Natural Gas,CT (Combined Cycle Combustion Turbine Part),18.771999,0.009320,204.500000
58606,2,Natural Gas,CT (Combined Cycle Combustion Turbine Part),18.771999,0.009320,204.500000
58606,3,Natural Gas,CA (Combined Cycle Steam Part),18.771999,0.009320,106.099998
58606,4,Natural Gas,CA (Combined Cycle Steam Part),18.771999,0.009320,106.099998
58607,1,Natural Gas,CT (Combined Cycle Combustion Turbine Part),9.546510,0.032500,185.699997
58607,2,Natural Gas,CA (Combined Cycle Steam Part),18.771999,0.009320,80.599998
58608,1,Natural Gas,CT (Combined Cycle Combustion Turbine Part),9.546510,0.032500,170.000000
58608,2,Natural Gas,CA (Combined Cycle Steam Part),18.771999,0.009320,117.000000
58609,1,Natural Gas,CT (Combined Cycle Combustion Turbine Part),9.546510,0.032500,161.500000
58609,2,Natural Gas,CT (Combined Cycle Combustion Turbine Part),9.546510,0.032500,161.500000
58609,3,Natural Gas,CA (Combined Cycle Steam Part),9.546510,0.032500,178.500000
58610,1,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,10,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,11,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,12,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,13,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,14,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,15,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,16,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,2,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,3,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,4,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,5,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,6,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,7,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,8,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58610,9,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58611,1,Hydro,HY (Hydro),14.878810,0.020763,130.500000
58611,2,Hydro,HY (Hydro),14.878810,0.020763,130.500000
58611,3,Hydro,HY (Hydro),14.878810,0.020763,130.500000
